Filename                                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
src/zserio/AllocatorHolder.h                                          11                 0   100.00%          11                 0   100.00%          21                 0   100.00%           0                 0         -
src/zserio/AllocatorPropagatingCopy.h                                 44                 0   100.00%          26                 0   100.00%         144                 0   100.00%          12                 0   100.00%
src/zserio/AnyHolder.h                                               150                 0   100.00%          84                 0   100.00%         404                 0   100.00%          48                 0   100.00%
src/zserio/Array.h                                                   137                 0   100.00%          91                 0   100.00%         371                 0   100.00%          38                 0   100.00%
src/zserio/ArrayTraits.h                                             150                 0   100.00%         150                 0   100.00%         450                 0   100.00%           0                 0         -
src/zserio/BitBuffer.h                                                87                 0   100.00%          27                 0   100.00%         141                 0   100.00%          48                 0   100.00%
src/zserio/BitFieldUtil.cpp                                           15                 0   100.00%           3                 0   100.00%          28                 0   100.00%          10                 0   100.00%
src/zserio/BitPositionUtil.h                                           6                 0   100.00%           1                 0   100.00%           5                 0   100.00%           4                 0   100.00%
src/zserio/BitSizeOfCalculator.cpp                                    26                 0   100.00%          13                 0   100.00%          59                 0   100.00%          10                 0   100.00%
src/zserio/BitSizeOfCalculator.h                                       1                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
src/zserio/BitStreamReader.cpp                                       283                 0   100.00%          40                 0   100.00%         507                 2    99.61%         182                 1    99.45%
src/zserio/BitStreamReader.h                                          26                 0   100.00%           6                 0   100.00%          74                 0   100.00%          14                 0   100.00%
src/zserio/BitStreamWriter.cpp                                       130                 0   100.00%          34                 0   100.00%         251                 0   100.00%          82                 0   100.00%
src/zserio/BitStreamWriter.h                                          15                 0   100.00%           5                 0   100.00%          39                 0   100.00%           8                 0   100.00%
src/zserio/BuiltInOperators.cpp                                        6                 0   100.00%           1                 0   100.00%          14                 0   100.00%           4                 0   100.00%
src/zserio/BuiltInOperators.h                                          1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
